,label,predictions,scores
0,True,True,0.9112
1,True,True,0.93
2,True,True,0.8287
3,True,True,0.9401
4,True,True,0.8959
5,True,True,0.7947
6,True,True,0.8396
7,True,True,0.8358
8,True,True,0.7926
9,True,True,0.5
10,True,True,0.5
11,True,True,0.8358
12,True,True,0.7943
13,True,True,0.8765
14,True,True,0.7795
15,True,True,0.7092
16,True,True,0.5846
17,True,False,0.4513
18,True,True,0.7151
19,True,False,0.4225
20,True,True,0.9312
21,True,True,0.973
22,True,True,0.8523
23,True,True,0.8658
24,True,True,0.8505
25,True,True,0.5
26,True,True,0.5
27,True,True,0.8907
28,True,True,0.5
29,True,True,0.8254
30,True,True,0.5
31,True,True,0.8999
32,True,True,0.6404
33,True,True,0.7927
34,True,True,0.8658
35,True,True,0.8811
36,True,True,0.889
37,True,True,0.918
38,True,True,0.8825
39,True,True,0.8453
40,True,True,0.5
41,True,True,0.8865
42,True,True,0.9109
43,True,True,0.8714
44,True,True,0.8694
45,True,True,0.5
46,True,True,0.9413
47,True,False,0.0841
48,True,False,0.2115
49,True,True,0.6526
50,True,False,0.2892
51,True,False,0.3011
52,True,True,0.7499
53,True,True,0.5
54,True,True,0.5563
55,True,True,0.5
56,True,True,0.9192
57,True,True,0.5
58,True,True,0.798
59,True,True,0.8692
60,True,True,0.8854
61,True,True,0.8555
62,True,True,0.831
63,True,True,0.9426
64,True,True,0.8431
65,True,True,0.8758
66,True,True,0.9225
67,True,True,0.9301
68,True,True,0.5986
69,True,True,0.8945
70,True,True,0.9559
71,True,True,0.9391
72,True,True,0.7539
73,True,True,0.631
74,True,False,0.49
75,True,True,0.5
76,True,True,0.5
77,True,True,0.633
78,True,True,0.722
79,True,True,0.8251
80,True,False,0.4124
81,True,True,0.5
82,True,True,0.5
83,True,True,0.8012
84,True,True,0.5238
85,True,True,0.5
86,True,True,0.5253
87,True,False,0.4004
88,True,True,0.5757
89,True,True,0.5
90,True,True,0.6269
91,True,False,0.4832
92,True,True,0.6266
93,True,True,0.7584
94,True,True,0.7083
95,True,True,0.5
96,True,True,0.8582
97,True,True,0.9638
98,True,True,0.5194
99,True,True,0.6348
100,True,True,0.9205
101,True,True,0.8702
102,True,True,0.8822
103,True,True,0.9251
104,True,True,0.8825
105,True,True,0.9024
106,True,True,0.8809
107,True,False,0.4085
108,True,True,0.8125
109,True,True,0.8353
110,True,True,0.8477
111,True,True,0.864
112,True,True,0.9173
113,True,True,0.8742
114,True,True,0.7024
115,True,True,0.8521
116,True,True,0.5701
117,True,True,0.6537
118,True,True,0.5
119,True,True,0.6984
120,True,True,0.8038
121,True,True,0.5
122,True,True,0.5
123,True,True,0.5
124,True,True,0.6562
125,True,True,0.7499
126,True,True,0.8404
127,True,False,0.1171
128,True,True,0.9398
129,True,True,0.9058
130,True,True,0.9228
131,True,True,0.9801
132,True,True,0.6019
133,True,True,0.8092
134,True,True,0.5
135,True,True,0.9288
136,True,True,0.6063
137,True,True,0.5
138,True,True,0.8248
139,True,True,0.5
140,True,True,0.9554
141,True,True,0.9209
142,True,True,0.7489
143,True,True,0.9319
144,True,True,0.7321
145,True,True,0.5
146,True,True,0.6203
147,True,True,0.5
148,True,True,0.9651
149,True,True,0.8998
150,True,True,0.9092
151,True,True,0.5
152,True,True,0.9438
153,True,True,0.5
154,True,True,0.913
155,True,True,0.5
156,True,True,0.5382
157,True,True,0.7887
158,True,False,0.4797
